Visages et émotions	😀	grinning face
Visages et émotions	😃	grinning face with big eyes
Visages et émotions	😄	grinning face with smiling eyes
Visages et émotions	😁	beaming face with smiling eyes
Visages et émotions	😆	grinning squinting face
Visages et émotions	😅	grinning face with sweat
Visages et émotions	🤣	rolling on the floor laughing
Visages et émotions	😂	face with tears of joy
Visages et émotions	🙂	slightly smiling face
Visages et émotions	🙃	upside-down face
Visages et émotions	🫠	melting face
Visages et émotions	😉	winking face
Visages et émotions	😊	smiling face with smiling eyes
Visages et émotions	😇	smiling face with halo
Visages et émotions	🥰	smiling face with hearts
Visages et émotions	😍	smiling face with heart-eyes
Visages et émotions	🤩	star-struck
Visages et émotions	😘	face blowing a kiss
Visages et émotions	😗	kissing face
Visages et émotions	☺️	smiling face
Visages et émotions	😚	kissing face with closed eyes
Visages et émotions	😙	kissing face with smiling eyes
Visages et émotions	🥲	smiling face with tear
Visages et émotions	😋	face savoring food
Visages et émotions	😛	face with tongue
Visages et émotions	😜	winking face with tongue
Visages et émotions	🤪	zany face
Visages et émotions	😝	squinting face with tongue
Visages et émotions	🤑	money-mouth face
Visages et émotions	🤗	smiling face with open hands
Visages et émotions	🤭	face with hand over mouth
Visages et émotions	🫢	face with open eyes and hand over mouth
Visages et émotions	🫣	face with peeking eye
Visages et émotions	🤫	shushing face
Visages et émotions	🤔	thinking face
Visages et émotions	🫡	saluting face
Visages et émotions	🤐	zipper-mouth face
Visages et émotions	🤨	face with raised eyebrow
Visages et émotions	😐	neutral face
Visages et émotions	😑	expressionless face
Visages et émotions	😶	face without mouth
Visages et émotions	🫥	dotted line face
Visages et émotions	😶‍🌫️	face in clouds
Visages et émotions	😏	smirking face
Visages et émotions	😒	unamused face
Visages et émotions	🙄	face with rolling eyes
Visages et émotions	😬	grimacing face
Visages et émotions	😮‍💨	face exhaling
Visages et émotions	🤥	lying face
Visages et émotions	🫨	shaking face
Visages et émotions	🙂‍↔️	head shaking horizontally
Visages et émotions	🙂‍↕️	head shaking vertically
Visages et émotions	😌	relieved face
Visages et émotions	😔	pensive face
Visages et émotions	😪	sleepy face
Visages et émotions	🤤	drooling face
Visages et émotions	😴	sleeping face
Visages et émotions	🫩	face with bags under eyes
Visages et émotions	😷	face with medical mask
Visages et émotions	🤒	face with thermometer
Visages et émotions	🤕	face with head-bandage
Visages et émotions	🤢	nauseated face
Visages et émotions	🤮	face vomiting
Visages et émotions	🤧	sneezing face
Visages et émotions	🥵	hot face
Visages et émotions	🥶	cold face
Visages et émotions	🥴	woozy face
Visages et émotions	😵	face with crossed-out eyes
Visages et émotions	😵‍💫	face with spiral eyes
Visages et émotions	🤯	exploding head
Visages et émotions	🤠	cowboy hat face
Visages et émotions	🥳	partying face
Visages et émotions	🥸	disguised face
Visages et émotions	😎	smiling face with sunglasses
Visages et émotions	🤓	nerd face
Visages et émotions	🧐	face with monocle
Visages et émotions	😕	confused face
Visages et émotions	🫤	face with diagonal mouth
Visages et émotions	😟	worried face
Visages et émotions	🙁	slightly frowning face
Visages et émotions	☹️	frowning face
Visages et émotions	😮	face with open mouth
Visages et émotions	😯	hushed face
Visages et émotions	😲	astonished face
Visages et émotions	😳	flushed face
Visages et émotions	🫪	distorted face
Visages et émotions	🥺	pleading face
Visages et émotions	🥹	face holding back tears
Visages et émotions	😦	frowning face with open mouth
Visages et émotions	😧	anguished face
Visages et émotions	😨	fearful face
Visages et émotions	😰	anxious face with sweat
Visages et émotions	😥	sad but relieved face
Visages et émotions	😢	crying face
Visages et émotions	😭	loudly crying face
Visages et émotions	😱	face screaming in fear
Visages et émotions	😖	confounded face
Visages et émotions	😣	persevering face
